                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                 1.9812,                 2.3446,                  1.224,                 1.2427,                0.80079,                0.62598,                0.66047,                0.33498,                0.78722,                0.61177,                0.63224,                0.25625,                  1.328,                 1.5327,                0.84952,                0.87636,               0.000812,               0.000812,               0.000812
                     62,                 1.9542,                 2.3131,                 1.2185,                 1.2484,                0.78379,                 0.6063,                0.66995,                0.33972,                0.77423,                0.59843,                0.63597,                0.26736,                 1.2992,                 1.5589,                 0.8529,                0.87906,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.9829,                 2.3087,                 1.2152,                 1.2464,                0.74965,                 0.5748,                0.66662,                0.33451,                0.75479,                0.57874,                0.64655,                0.26903,                 1.2985,                 1.5425,                0.98759,                0.87515,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.9944,                 2.3002,                 1.2264,                 1.2324,                0.77161,                0.59843,                0.65392,                0.29473,                0.77327,                0.59055,                0.63744,                0.24387,                 1.3645,                 1.5911,                 0.8343,                0.89743,              0.0007526,              0.0007526,              0.0007526
                     65,                  1.973,                 2.3152,                 1.1993,                 1.2347,                0.75108,                 0.5748,                0.64359,                0.30471,                0.74716,                0.55512,                0.60378,                0.23637,                 1.3544,                 1.5923,                0.98881,                0.87407,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.9869,                  2.282,                 1.2187,                 1.2243,                0.72103,                0.58661,                0.63048,                0.31757,                0.76585,                0.57087,                0.62469,                0.24579,                 1.3396,                 1.5563,                0.99375,                0.88139,               0.000713,               0.000713,               0.000713
                     67,                 2.0036,                 2.2544,                  1.215,                 1.2234,                  0.719,                0.59055,                0.64652,                 0.3328,                0.74707,                0.58143,                0.63947,                0.26497,                 1.3354,                 1.5813,                  1.135,                0.86958,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.9901,                 2.2932,                 1.2025,                 1.2401,                0.74985,                0.60236,                0.64127,                0.32859,                0.76145,                 0.6063,                0.62939,                0.25889,                  1.311,                 1.5749,                0.94908,                0.87054,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.9494,                 2.2701,                 1.1982,                 1.2304,                0.74239,                0.57087,                0.64121,                0.32917,                0.77839,                0.57087,                0.64167,                 0.2532,                 1.3458,                 1.5804,                 1.0586,                 0.8761,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.9467,                 2.2145,                 1.1798,                 1.2138,                 0.7664,                0.61999,                0.67132,                0.33979,                0.75476,                0.59371,                 0.6392,                0.25903,                 1.3211,                 1.5378,                0.85838,                0.87479,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.9487,                 2.3294,                 1.1606,                 1.2188,                 0.7294,                 0.6063,                0.65344,                0.33546,                0.75749,                 0.6063,                0.64307,                0.26971,                 1.3212,                  1.536,                0.82935,                0.86172,               0.000614,               0.000614,               0.000614
                     72,                 1.9748,                 2.2669,                 1.1449,                 1.2133,                0.72304,                0.59055,                0.64126,                0.30907,                0.72443,                 0.5748,                0.61827,                0.23817,                 1.3545,                 1.5272,                0.83331,                0.88299,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.9936,                 2.2647,                  1.195,                 1.2136,                 0.7444,                0.61915,                0.63078,                0.31512,                0.76143,                0.60316,                0.62374,                0.24215,                 1.3355,                 1.5217,                0.85748,                0.86758,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.9467,                 2.2593,                 1.1437,                 1.2117,                0.71723,                0.59055,                0.63496,                0.29051,                0.71886,                0.59449,                0.62439,                0.23453,                 1.3796,                 1.5408,                0.93803,                0.89916,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.9588,                 2.2557,                 1.1769,                 1.2138,                0.71864,                0.58322,                0.62119,                 0.3077,                0.72647,                0.58555,                0.59976,                0.24625,                 1.3176,                  1.532,                0.81534,                0.85992,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.9514,                  2.251,                 1.1616,                 1.2315,                0.76947,                0.59843,                0.66418,                 0.3498,                0.80785,                 0.5959,                0.66211,                0.27884,                  1.305,                 1.5192,                0.82658,                0.85928,               0.000515,               0.000515,               0.000515
                     77,                 1.9746,                 2.2262,                 1.1377,                  1.197,                0.75182,                0.58442,                0.63459,                0.30953,                0.78213,                 0.5748,                 0.6378,                0.24998,                 1.3535,                 1.5363,                 1.0134,                0.87446,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.9215,                 2.2339,                 1.1553,                 1.2135,                0.75567,                0.60236,                0.63883,                0.31082,                  0.769,                0.60289,                0.63252,                0.25377,                 1.3409,                 1.5077,                0.93413,                0.87043,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.9339,                 2.2502,                 1.1297,                 1.2231,                0.75115,                0.61024,                0.65552,                0.32869,                0.78507,                0.62205,                0.66185,                0.26548,                 1.3385,                 1.5309,                0.80604,                0.86331,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.9173,                 2.2295,                 1.1407,                 1.2116,                0.71408,                0.62205,                0.64866,                0.31974,                0.75565,                0.62095,                0.64129,                0.25707,                 1.3301,                 1.5247,                 0.8076,                 0.8681,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.9286,                  2.225,                 1.1416,                 1.2018,                0.77847,                 0.5949,                0.65865,                0.32802,                0.80596,                0.60236,                0.66159,                0.26773,                 1.3296,                 1.5168,                0.85411,                0.85846,               0.000416,               0.000416,               0.000416
                     82,                 1.9427,                 2.2094,                  1.123,                 1.1878,                0.75597,                0.63421,                0.66983,                0.32322,                0.76178,                0.61689,                 0.6475,                0.25815,                 1.3567,                  1.546,                0.79849,                0.87378,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.9078,                 2.2627,                 1.1106,                 1.1896,                0.74189,                 0.6224,                0.65547,                0.32809,                0.75944,                0.62598,                0.64797,                0.25751,                 1.3298,                 1.5317,                0.81105,                0.86682,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.9514,                 2.2602,                 1.1135,                 1.1733,                0.74854,                0.62205,                0.65789,                0.32391,                0.78122,                0.62205,                0.66104,                0.25915,                 1.3416,                 1.5543,                0.81902,                0.86372,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.9142,                 2.2234,                 1.1119,                 1.2088,                0.73946,                 0.6378,                0.65693,                0.32289,                0.75241,                0.61811,                0.63481,                0.25188,                 1.3329,                 1.5389,                0.80857,                0.85379,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.9043,                   2.21,                 1.0966,                 1.1862,                0.73414,                0.64142,                0.65257,                0.31519,                0.74862,                0.62141,                0.63943,                0.25664,                 1.3311,                  1.513,                0.83036,                0.85197,               0.000317,               0.000317,               0.000317
                     87,                 1.9281,                 2.1862,                 1.0951,                 1.1897,                0.74803,                0.63386,                0.67477,                0.33362,                0.76645,                0.62016,                0.66423,                0.25931,                 1.3374,                 1.5255,                0.83223,                0.86009,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.916,                 2.2369,                 1.0902,                  1.187,                0.73713,                0.64033,                0.66294,                0.31998,                0.75438,                0.61811,                0.64957,                0.25284,                 1.3512,                 1.5186,                0.85533,                0.87017,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.936,                 2.1975,                 1.0928,                 1.1854,                0.73314,                0.65748,                0.67085,                0.32496,                0.77442,                0.60822,                 0.6507,                0.25899,                 1.3582,                 1.5215,                0.82882,                0.87415,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.9057,                 2.2099,                 1.0615,                  1.173,                0.76403,                 0.6063,                0.66437,                0.31753,                0.77121,                0.60236,                0.62964,                0.25327,                 1.3606,                 1.5279,                0.81571,                0.86817,              0.0002378,              0.0002378,              0.0002378
                     91,                 2.6864,                 2.2758,                 1.1888,                 1.1632,                0.74728,                0.61024,                0.65311,                0.32579,                0.78769,                0.59887,                0.64282,                0.25949,                   1.36,                 1.4947,                 0.7825,                0.87037,               0.000218,               0.000218,               0.000218
                     92,                 2.6177,                 2.2535,                  1.153,                 1.1401,                0.75263,                0.62205,                0.65047,                0.32863,                0.76391,                0.61417,                0.63476,                0.26196,                  1.346,                 1.4837,                0.78653,                0.86556,              0.0001982,              0.0001982,              0.0001982
                     93,                 2.5834,                  2.252,                 1.1413,                 1.1608,                0.75702,                0.62205,                0.65364,                0.32611,                0.77786,                0.61024,                 0.6389,                0.25987,                 1.3616,                 1.4944,                0.77238,                0.86211,              0.0001784,              0.0001784,              0.0001784
                     94,                 2.6149,                 2.2304,                 1.1402,                 1.1504,                 0.7733,                0.61811,                0.65731,                0.33498,                0.78314,                0.61811,                0.64114,                0.26069,                  1.334,                 1.5151,                0.76701,                 0.8637,              0.0001586,              0.0001586,              0.0001586
                     95,                 2.5966,                 2.2235,                 1.1245,                 1.1583,                0.78828,                0.64173,                0.67578,                0.34191,                0.78717,                0.62205,                0.64694,                0.26575,                 1.3333,                 1.4978,                0.77176,                0.86291,              0.0001388,              0.0001388,              0.0001388
                     96,                  2.591,                 2.2212,                 1.1266,                 1.1574,                0.78637,                0.63386,                0.67333,                0.33398,                0.76684,                0.61811,                0.63329,                0.25865,                 1.3322,                 1.4942,                0.76272,                0.86307,               0.000119,               0.000119,               0.000119
                     97,                 2.5933,                 2.2235,                 1.1277,                 1.1472,                0.78251,                0.63386,                0.67536,                0.33378,                0.75774,                 0.6034,                0.62978,                0.25329,                 1.3393,                 1.4988,                0.75821,                0.85841,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 2.5852,                 2.1906,                 1.1007,                 1.1188,                0.79449,                0.62403,                0.68304,                 0.3362,                 0.7779,                 0.6063,                0.64507,                0.26282,                  1.343,                 1.5035,                0.75855,                0.85854,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 2.6416,                 2.2135,                 1.1233,                 1.1479,                0.78637,                0.62316,                 0.6818,                  0.339,                0.77504,                0.61417,                0.65239,                0.26812,                 1.3429,                 1.4998,                0.75139,                0.86178,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 2.6027,                 2.2348,                 1.1218,                 1.1334,                0.77948,                0.62624,                0.68117,                0.33799,                0.77222,                0.61417,                0.64209,                0.26642,                 1.3348,                 1.4932,                0.75267,                0.85997,               3.98e-05,               3.98e-05,               3.98e-05
